brand,model,year,mileage,engine_size,price
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2022,7.0,1250.0,24515.0
BMW,F900R 900 R,2022,4.0,900.0,12590.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2022,4.0,1250.0,24515.0
BMW,R1250GS 1250 GS,2023,7.0,1250.0,23025.0
BMW,R 1250 GS Adventure,2023,3.0,1250.0,26005.0
BMW,R 1250 GS Adventure,2023,4.0,1250.0,25915.0
BMW,S1000 XR,2022,0.0,1000.0,21890.0
BMW,K 1600 B,2022,4.0,1600.0,28590.0
BMW,R 1250 GS Adventure,2023,4.0,1250.0,26690.0
BMW,G 310 R,2023,0.0,310.0,5785.0
BMW,R 1250 RT,2023,4.0,1250.0,27065.0
BMW,S1000RR,2023,0.0,1000.0,23700.0
BMW,R1250GS LOW 1250 GS,2023,4.0,1250.0,23790.0
BMW,R 1250 GS Adventure GS Trophy,2023,4.0,1250.0,26255.0
BMW,F 850 GS 850 GS ADVENTURE,2023,4.0,850.0,16130.0
BMW,R 1250 GS Adventure,2023,2.0,1250.0,26005.0
BMW,R1250 GS,2023,0.0,1250.0,23280.0
BMW,R1250GS 1250 GS,2023,0.0,1250.0,22860.0
BMW,R18 TC BASE,2023,0.0,18.0,29290.0
BMW,R1250GS ADVENTURE LOW 1250 GS ADVENTURE,2023,0.0,1250.0,25175.0
BMW,R 1250 GS Adventure GS Trophy,2023,4.0,1250.0,25580.0
BMW,R 1250 RS,2023,0.0,1250.0,20160.0
BMW,R 1250 RS,2023,0.0,1250.0,20010.0
BMW,R 1250 RS,2023,0.0,1250.0,20160.0
BMW,R 18,2022,0.0,18.0,18730.0
BMW,R 18 CLASSIC,2022,0.0,18.0,20190.0
BMW,R 18,2022,0.0,18.0,20190.0
BMW,M 1000 RR M RR with M Competition Package,2022,0.0,1000.0,34995.0
BMW,R 1250 R Black Storm Metallic,2022,0.0,1250.0,18165.0
BMW,R nineT 719 Night Black Matte/Aluminum Matte BASE,2022,0.0,719.0,16995.0
BMW,R 18 B First Edition,2022,1169.0,18.0,20878.0
BMW,R nineT 719 Night Black Matte/Aluminum Matte BASE,2022,862.0,719.0,17890.0
BMW,K 1600 GTL,2022,0.0,1600.0,29640.0
BMW,K 1600 B,2021,9745.0,1600.0,20995.0
